TripType,VisitNumber,Weekday,Upc,ScanCount,DepartmentDescription,FinelineNumber
38,53354,6,7146424060,1,PRODUCE,7916
38,107017,1,5150000163,1,GROCERY DRY GOODS,2602
37,131069,5,22591100000,1,MEAT - FRESH & FROZEN,6300
37,73152,2,1530043980,2,GROCERY DRY GOODS,3804
37,110280,1,3760035160,1,PRE PACKED DELI,7202
38,127184,4,7073405243,1,GROCERY DRY GOODS,3352
36,5835,5,4155442963,1,BEAUTY,2248
37,102913,7,3338365151,2,PRODUCE,7146
38,69748,2,7115378568,1,AUTOMOTIVE,2011
38,131020,5,5210037160,1,GROCERY DRY GOODS,3002
3,128881,4,68113163352,1,FINANCIAL SERVICES,278
38,11412,6,88491201426,2,GROCERY DRY GOODS,3555
38,8665,6,7225003706,2,COMM BREAD,3702
37,95038,6,1410007467,2,COMM BREAD,3762
37,170061,4,4032,1,PRODUCE,6420
38,190526,7,71514151464,1,DAIRY,9114
38,43133,4,7128786205,1,GROCERY DRY GOODS,3324
36,76846,3,4011,1,PRODUCE,5501
3,40002,4,64541698806,1,CELEBRATION,1805
37,30424,2,7874211433,1,DSD GROCERY,3502
38,50727,6,1600048541,1,GROCERY DRY GOODS,3554
37,134415,5,4510006062,1,DSD GROCERY,4261
3,151540,1,68113163351,1,FINANCIAL SERVICES,275
37,128540,4,68113109025,1,PRODUCE,7023
37,60517,7,22591500000,2,MEAT - FRESH & FROZEN,3103
36,57596,7,7906801231,1,PERSONAL CARE,3070
38,89129,5,4690000108,1,GROCERY DRY GOODS,2838
5,153648,1,32878560115,1,PHARMACY OTC,4107
36,1920,5,3700033840,1,HOUSEHOLD CHEMICALS/SUPP,165
38,29800,2,3570016261,2,GROCERY DRY GOODS,3309
37,158829,2,3338308597,1,PRODUCE,1239
37,169559,4,4011,1,PRODUCE,5501
38,54533,6,60538871457,1,DAIRY,9100
36,120533,3,7124924100,1,PERSONAL CARE,5305
37,102713,7,4044,1,PRODUCE,2400
36,43825,5,1650051328,1,PHARMACY OTC,601
37,114037,2,4011,1,PRODUCE,5501
37,31400,2,7224013387,1,PRODUCE,3105
37,26132,2,7874212314,3,MEAT - FRESH & FROZEN,6090
5,31643,3,71470620070,1,PHARMACY OTC,4081
38,156542,2,68113174219,1,PHARMACY OTC,239
3,8105,6,83032400788,1,IMPULSE MERCHANDISE,1749
36,43208,4,75680910529,1,BATH AND SHOWER,4903
37,13418,7,71458100088,1,PRODUCE,7816
37,60517,7,4032672556,-1,MENSWEAR,1513
36,34019,3,4289994813,2,AUTOMOTIVE,603
37,53916,6,82650433972,1,SEAFOOD,1027
37,177690,5,4045,1,PRODUCE,3004
38,189540,7,7874237381,1,FROZEN FOODS,1754
5,93321,6,9064970522,1,BRAS & SHAPEWEAR,3920
36,63633,1,2200000484,1,IMPULSE MERCHANDISE,135
37,160868,2,7047029423,1,DAIRY,1344
5,108895,1,7056095011,1,FROZEN FOODS,1752
36,102597,7,66216324106,1,LADIESWEAR,1405
38,165879,3,7432309152,1,DSD GROCERY,2704
38,52201,6,4958,1,PRODUCE,701
38,22183,1,7373107107,1,COMM BREAD,3734
5,176696,5,70886270501,1,PHARMACY OTC,1650
36,134058,5,4127100956,1,DAIRY,1513
37,47944,5,4011,1,PRODUCE,5501
38,79084,3,4850000818,1,DAIRY,1404
37,159558,2,3338351010,1,PRODUCE,4130
37,190079,7,7790019209,1,PRE PACKED DELI,7803
37,83190,4,7480601500,1,DSD GROCERY,4623
37,160711,2,61300871979,1,DSD GROCERY,3053
36,43988,5,7050106224,1,BEAUTY,4660
38,62714,7,7874235187,1,DAIRY,1508
37,71882,2,4235,1,PRODUCE,5580
5,5293,5,2800026038,1,"CANDY, TOBACCO, COOKIES",89
5,187364,7,30521014301,1,BEAUTY,4010
38,58979,7,3345611314,1,DAIRY,1311
36,136330,5,3278458670,1,SPORTING GOODS,501
5,102168,7,4590,1,PRODUCE,8303
38,61373,7,7231000848,1,GROCERY DRY GOODS,3351
38,47322,5,5100000803,1,DSD GROCERY,4651
5,22510,1,7090701703,1,PHARMACY OTC,4501
37,159881,2,4312,1,PRODUCE,5703
37,50079,6,7874222375,1,COMM BREAD,3716
38,65473,1,3100018040,1,FROZEN FOODS,9704
36,43988,5,69736600100,1,PERSONAL CARE,807
36,110832,1,3760016095,1,PRE PACKED DELI,7205
37,184291,6,78524220076,1,PRODUCE,44
38,106216,7,1600045701,1,GROCERY DRY GOODS,3506
38,170599,4,60538871459,1,DAIRY,9128
36,151052,1,4900000045,1,DSD GROCERY,9546
38,163401,3,2800032710,1,DSD GROCERY,4635
37,27287,2,4470001990,2,PRE PACKED DELI,7202
37,81372,4,60538800533,1,PRODUCE,2007
37,51703,6,4312,1,PRODUCE,5703
5,52795,6,7874220699,1,OPTICAL - FRAMES,3740
3,100349,7,60538896309,3,FINANCIAL SERVICES,276
38,151542,1,3800039136,1,GROCERY DRY GOODS,3600
38,104658,7,3450015136,1,DAIRY,1201
37,15058,7,65876135932,1,MEAT - FRESH & FROZEN,5501
36,12362,6,1558679300,1,FABRICS AND CRAFTS,8055
38,99044,6,8265750406,1,DSD GROCERY,2352
3,81973,4,60538802945,1,IMPULSE MERCHANDISE,1001
38,155040,1,5040002340,1,COMM BREAD,3736
37,168394,4,1200013027,1,DSD GROCERY,9547
5,70838,2,3500076583,1,PERSONAL CARE,9108
36,154308,1,30041010111,1,PERSONAL CARE,403
37,146390,7,5150025574,1,GROCERY DRY GOODS,2651
37,114046,2,7227342753,2,GROCERY DRY GOODS,2827
37,134492,5,5440000004,1,GROCERY DRY GOODS,2151
36,106387,7,4510006064,1,DSD GROCERY,2323
3,108012,1,68113163353,1,FINANCIAL SERVICES,277
36,64720,1,1700002402,1,PERSONAL CARE,3180
37,128539,4,2460001003,1,GROCERY DRY GOODS,4253
37,160745,2,7172085000,1,"CANDY, TOBACCO, COOKIES",707
37,13692,7,60538800144,1,DAIRY,9105
38,182993,6,2500005280,2,DAIRY,1404
37,153055,1,3345611314,1,DAIRY,1311
36,77983,3,5000042504,1,PETS AND SUPPLIES,1946
38,42229,4,1600048366,1,GROCERY DRY GOODS,3559
36,95596,6,3700012434,1,PERSONAL CARE,5
37,5082,5,4958,1,PRODUCE,701
38,159743,2,2840007098,1,DSD GROCERY,9267
37,94732,6,1090028295,1,HOUSEHOLD PAPER GOODS,6660
5,127901,4,63468071565,1,GROCERY DRY GOODS,4052
38,85111,4,4400002801,1,DSD GROCERY,4156
37,156156,2,7099001320,1,DAIRY,1251
36,42611,4,5100021928,3,GROCERY DRY GOODS,3109
36,152134,1,7417037944,1,BEAUTY,3100
37,116895,2,7874203951,1,HOUSEHOLD PAPER GOODS,3011
37,129929,4,4045,1,PRODUCE,3004
36,104351,7,81655901303,2,PERSONAL CARE,5031
37,166111,3,1920083262,1,HOUSEHOLD CHEMICALS/SUPP,7010
37,85673,4,4499,1,PRODUCE,2007
38,171339,4,1600027511,1,GROCERY DRY GOODS,3600
36,117156,2,3500076007,1,PERSONAL CARE,203
3,139268,6,68113163353,1,FINANCIAL SERVICES,277
38,65390,1,7480601500,1,DSD GROCERY,4623
3,47504,5,75752800858,1,GROCERY DRY GOODS,4291
36,17230,7,85649000051,1,OFFICE SUPPLIES,3605
38,171545,4,7146424060,1,PRODUCE,7916
38,111620,1,5300007210,1,DAIRY,7953
38,107414,1,5210002744,1,GROCERY DRY GOODS,4252
37,60923,7,4190007318,1,FROZEN FOODS,1854
37,57086,7,1466850600,1,PRODUCE,5757
36,114279,2,4145710912,1,PERSONAL CARE,5112
38,189036,7,89070800111,1,DSD GROCERY,4654
3,119856,3,60538896309,2,FINANCIAL SERVICES,276
37,7710,6,78035378403,1,PRODUCE,3601
3,166115,3,60538819035,1,FINANCIAL SERVICES,1000
37,75123,2,22590600000,1,MEAT - FRESH & FROZEN,4150
5,58935,7,5113119814,1,PHARMACY OTC,3032
37,65756,1,5020055310,1,DAIRY,1407
37,116635,2,3338320027,1,PRODUCE,3601
5,161250,3,2840043789,1,IMPULSE MERCHANDISE,801
37,147020,7,3151,-2,PRODUCE,7801
37,174614,5,7177101505,1,GROCERY DRY GOODS,3809
36,17267,7,7279000011,1,PERSONAL CARE,1417
36,167892,4,81832601159,1,HOME DECOR,2518
37,185701,7,7373100291,1,COMM BREAD,3734
37,168031,4,1200000134,1,DSD GROCERY,9547
38,25390,1,7763304737,1,COMM BREAD,3701
36,143458,6,84105800524,1,PERSONAL CARE,1406
37,173578,5,5460071650,1,HOUSEHOLD CHEMICALS/SUPP,3610
38,55246,6,7874237006,1,GROCERY DRY GOODS,4201
37,43011,4,7874235186,1,DAIRY,1508
38,101912,7,7049121282,1,DSD GROCERY,3432
37,136507,5,68113138748,1,PRODUCE,6801
37,90452,5,7143000752,1,PRODUCE,3601
38,80373,3,2529300136,1,DAIRY,1511
3,143715,7,83032400641,1,IMPULSE MERCHANDISE,1001
5,189419,7,4011,1,PRODUCE,5501
38,107862,1,3400000240,3,IMPULSE MERCHANDISE,100
38,156498,2,4011,1,PRODUCE,5501
5,27768,2,35972611740,1,PHARMACY OTC,2006
37,2336,5,4051,1,PRODUCE,5701
3,46105,5,83032400641,1,IMPULSE MERCHANDISE,1001
38,23074,1,2460001001,1,GROCERY DRY GOODS,4253
36,171391,4,2622976120,1,OFFICE SUPPLIES,6129
36,126013,4,68113103642,1,PERSONAL CARE,802
36,94229,6,1910016989,1,BEAUTY,4650
37,45841,5,4679877025,1,PETS AND SUPPLIES,7612
38,176244,5,4900000790,1,DSD GROCERY,4611
38,71718,2,3663203731,1,DAIRY,1450
37,135142,5,2500005543,1,DAIRY,1404
38,187266,7,4000049483,1,IMPULSE MERCHANDISE,115
38,36015,3,4850030102,1,DAIRY,1404
36,130396,4,7872911386,1,PERSONAL CARE,5103
38,53381,6,3663202809,1,DAIRY,1443
38,61965,7,4889,1,PRODUCE,7907
38,104326,7,1600040945,1,GROCERY DRY GOODS,3600
37,160199,2,4087,1,PRODUCE,7803
36,153931,1,3500076553,1,PERSONAL CARE,203
36,124221,3,31254730675,1,PERSONAL CARE,805
37,101555,7,7321000260,1,GROCERY DRY GOODS,2409
38,60141,7,5100000067,3,DSD GROCERY,4653
37,11931,6,4087,1,PRODUCE,7803
36,152134,1,73150958266,2,BEAUTY,3405
36,35370,3,7940027551,1,PERSONAL CARE,5008
5,159321,2,2200000891,1,IMPULSE MERCHANDISE,135
5,64922,1,30065042915,1,PHARMACY OTC,1541
36,89220,5,7124929237,1,PERSONAL CARE,5205
37,173578,5,5200032213,1,DSD GROCERY,4606
38,108107,1,4900005025,1,DSD GROCERY,3004
36,114188,2,3700088437,1,PERSONAL CARE,202
38,7058,6,3120020298,1,DSD GROCERY,4639
38,22064,1,3729791447,2,GROCERY DRY GOODS,2707
37,136505,5,1200080994,1,DSD GROCERY,9516
38,109604,1,7874201449,4,HOUSEHOLD PAPER GOODS,5520
37,121965,3,7874235190,1,DAIRY,1406
38,189895,7,4051,1,PRODUCE,5701
5,88194,5,1410007121,1,COMM BREAD,3760
38,43323,5,5215953200,1,DAIRY,7954
37,156002,2,3338340010,1,PRODUCE,6201
37,25666,1,6843791126,1,IMPULSE MERCHANDISE,125
36,30825,2,7154901967,1,LAWN AND GARDEN,5143
37,133093,5,5450019334,1,PRE PACKED DELI,7503
3,159465,2,68113107939,1,FINANCIAL SERVICES,200
38,26334,2,18778700092,1,DAIRY,7978
5,18324,7,2200000898,1,IMPULSE MERCHANDISE,135
36,177097,5,7940056600,1,PERSONAL CARE,27
36,12002,6,68113110480,1,PHARMACY OTC,2730
5,166018,3,68113103417,1,PHARMACY OTC,5535
37,174245,5,3376420805,1,FROZEN FOODS,2001
37,184055,6,2840023981,1,DSD GROCERY,4402
36,80925,3,3600032552,1,AUTOMOTIVE,3810
37,105684,7,4046,1,PRODUCE,5620
37,82596,4,6827419514,1,DSD GROCERY,9214
38,87674,5,2740010307,1,DAIRY,1252
38,79352,3,4111600527,1,IMPULSE MERCHANDISE,105
38,112175,1,7874235186,1,DAIRY,1508
38,186752,7,76172005820,1,GROCERY DRY GOODS,4403
36,77441,3,7124922455,5,BEAUTY,2230
37,155141,1,7024712777,1,MEAT - FRESH & FROZEN,6540
38,178165,6,7874235187,1,DAIRY,1508
38,154621,1,89470001015,1,DAIRY,1450
38,65378,1,3800039500,1,GROCERY DRY GOODS,3559
38,185530,7,3000031835,1,GROCERY DRY GOODS,3505
36,98895,6,7124901642,1,BEAUTY,2210
36,71231,2,6220080995,1,PERSONAL CARE,1414
37,191170,7,5280048624,1,BEAUTY,4020
36,170296,4,1700012358,1,PERSONAL CARE,5019
38,123120,3,7874235186,1,DAIRY,1508
37,151592,1,4050,1,PRODUCE,6501
38,102911,7,3663202714,3,DAIRY,1450
38,13787,7,7978310009,1,DSD GROCERY,3866
37,104981,7,2900007650,1,DSD GROCERY,3560
5,139125,6,68113178149,2,OPTICAL - FRAMES,3203
37,91232,5,4011,1,PRODUCE,5501
37,29280,2,2430086568,1,COMM BREAD,2286
5,167847,4,8680043249,1,BEAUTY,2045
5,162414,3,20703200000,1,SERVICE DELI,6803
37,13451,7,4450097645,1,PRE PACKED DELI,7554
38,183714,6,7976503128,1,DSD GROCERY,9206
3,188697,7,68113163353,1,FINANCIAL SERVICES,277
38,109908,1,76211188808,1,GROCERY DRY GOODS,3309
36,124080,3,82926814131,1,LADIESWEAR,284
36,34133,3,4155429428,1,BEAUTY,2250
37,128740,4,1500001362,1,INFANT CONSUMABLE HARDLINES,3163
38,103620,7,7418228937,1,PERSONAL CARE,3159
37,168394,4,66106100001,2,PRODUCE,4162
36,75227,2,2840004179,2,IMPULSE MERCHANDISE,807
38,163863,3,3663200260,1,DAIRY,1360
37,64611,1,22093900000,1,MEAT - FRESH & FROZEN,4150
36,29792,2,4400003211,1,IMPULSE MERCHANDISE,804
38,69145,1,3040077852,1,HOUSEHOLD PAPER GOODS,3006
37,61136,7,1111587132,1,DAIRY,1251
38,177095,5,2840034367,1,DSD GROCERY,8300
38,117787,2,7874235186,1,DAIRY,1508
36,41926,4,2840043143,1,IMPULSE MERCHANDISE,808
38,171566,4,7874222953,1,DSD GROCERY,4636
38,157870,2,2840042073,2,IMPULSE MERCHANDISE,808
36,100487,7,7940020207,1,PERSONAL CARE,53
5,83812,4,4450031987,1,PRE PACKED DELI,7554
5,23520,1,3400000647,1,IMPULSE MERCHANDISE,135
38,2732,5,7265545844,1,FROZEN FOODS,4138
37,7213,6,4065,1,PRODUCE,8101
37,21849,1,4065,1,PRODUCE,8101
5,7706,6,32390001035,1,PHARMACY OTC,1213
36,154214,1,4160800131,2,PHARMACY OTC,4511
37,17127,7,3400019940,1,"CANDY, TOBACCO, COOKIES",74
37,57342,7,18778700096,4,DAIRY,7978
38,133137,5,5210008698,1,GROCERY DRY GOODS,4252
5,4962,5,1111113069,1,PERSONAL CARE,4941
3,135069,5,60538819035,1,FINANCIAL SERVICES,1000
36,164700,3,7962507185,1,BEAUTY,5020
37,74648,2,2840042073,1,IMPULSE MERCHANDISE,808
36,107602,1,7294560136,1,COMM BREAD,3702
5,188091,7,3596869010,1,HOME MANAGEMENT,8469
37,5881,5,7639703100,2,GROCERY DRY GOODS,2995
37,82892,4,2898997540,2,FROZEN FOODS,1908
38,130465,4,88491200391,1,GROCERY DRY GOODS,3555
37,159985,2,7433190318,1,SEAFOOD,1043
5,113132,2,4110082073,1,PHARMACY OTC,2205
38,133137,5,5410000050,1,GROCERY DRY GOODS,2502
37,79830,3,2200001187,1,"CANDY, TOBACCO, COOKIES",707
36,139790,6,4060038718,1,DAIRY,1252
37,138163,6,3338370050,3,PRODUCE,7917
3,159109,2,60538802945,1,IMPULSE MERCHANDISE,1001
38,50743,6,4400003214,1,IMPULSE MERCHANDISE,804
37,53539,6,22846000000,1,MEAT - FRESH & FROZEN,9386
3,134384,5,83032400641,1,IMPULSE MERCHANDISE,1001
38,61662,7,6898153912,1,CELEBRATION,787
38,174185,5,5210008698,1,GROCERY DRY GOODS,4252
37,157192,2,4087,1,PRODUCE,7803
38,105682,7,2200000891,1,IMPULSE MERCHANDISE,135
5,43222,4,5200032868,1,DSD GROCERY,4606
38,155323,1,3500039371,1,HOUSEHOLD CHEMICALS/SUPP,2070
37,178904,6,6414400196,1,GROCERY DRY GOODS,2400
36,56749,7,2428615042,1,PERSONAL CARE,8101
5,27470,2,31254720432,1,PHARMACY OTC,1356
37,151924,1,4705,1,PRODUCE,4462
3,804,5,60538896309,1,FINANCIAL SERVICES,276
38,179555,6,7874209647,1,DAIRY,7955
37,147247,7,5400010183,1,HOUSEHOLD PAPER GOODS,3004
38,30134,2,4133112466,3,GROCERY DRY GOODS,4290
37,67452,1,4660055003,1,PRE PACKED DELI,7251
3,127699,4,60538887953,1,FINANCIAL SERVICES,285
38,110335,1,7874235186,1,DAIRY,1508
5,13233,7,4050,1,PRODUCE,6501
38,91223,5,7874222953,1,DSD GROCERY,4636
36,58373,7,30187137055,1,BEAUTY,4503
36,111599,1,3400000334,2,IMPULSE MERCHANDISE,100
36,143121,6,7298200274,1,PERSONAL CARE,6131
38,191322,7,1600048366,1,GROCERY DRY GOODS,3559
37,23071,1,4087,1,PRODUCE,7803
36,22406,1,82603007360,1,OFFICE SUPPLIES,6352
38,122906,3,3120021007,1,DSD GROCERY,4639
38,78173,3,18778700080,1,DAIRY,7978
37,162502,3,7874235186,1,DAIRY,1508
5,65515,1,7959416257,1,LAWN AND GARDEN,5010
5,2172,5,2820017702,1,"CANDY, TOBACCO, COOKIES",8006
38,99749,7,2840006404,1,DSD GROCERY,7002
38,91449,5,4812121679,1,COMM BREAD,3405
38,17731,7,2733100625,2,DAIRY,7962
37,96893,6,22763000000,2,MEAT - FRESH & FROZEN,1039
36,73202,2,3700085523,1,PERSONAL CARE,3122
37,122157,3,2100003355,1,GROCERY DRY GOODS,4602
37,123205,3,4400003210,1,IMPULSE MERCHANDISE,804
37,160667,2,3400000229,1,IMPULSE MERCHANDISE,115
37,181205,6,4048,1,PRODUCE,901
37,169159,4,3500076372,1,PERSONAL CARE,203
37,42575,4,4011,1,PRODUCE,5501
38,130465,4,980080005,1,IMPULSE MERCHANDISE,611
3,23053,1,60538802945,1,IMPULSE MERCHANDISE,1001
36,35370,3,7214001150,1,BEAUTY,4010
37,148591,7,4051,1,PRODUCE,5701
37,67591,1,3338365322,1,PRODUCE,7601
5,174380,5,7287927056,1,FABRICS AND CRAFTS,5960
38,83410,4,4222809223,1,HARDWARE,2125
36,145071,7,7459050949,1,PERSONAL CARE,7015
37,160418,2,7432300583,-1,COMM BREAD,3724
3,142220,6,68113107939,1,FINANCIAL SERVICES,200
36,104054,7,7940034369,1,PERSONAL CARE,53
37,93304,6,4061,1,PRODUCE,7501
38,17037,7,1800046354,1,DAIRY,1307
5,154573,1,66354294008,2,OFFICE SUPPLIES,3601
37,134345,5,7940019721,1,PERSONAL CARE,5406
37,97074,6,3700000445,1,HOUSEHOLD CHEMICALS/SUPP,130
36,109300,1,1910011062,1,BEAUTY,4008
3,2933,5,60538896309,1,FINANCIAL SERVICES,276
38,42500,4,4138711627,1,GROCERY DRY GOODS,4601
37,26998,2,4404,1,PRODUCE,2400
38,118379,2,980089500,1,GROCERY DRY GOODS,2500
37,63999,1,3107,1,PRODUCE,103
38,142938,6,7800000034,1,DSD GROCERY,2457
37,8892,6,73447533423,1,PRODUCE,8108
38,183023,6,1450001407,2,FROZEN FOODS,1750
5,38271,4,68113106455,1,PHARMACY OTC,5633
5,25108,1,75623378690,4,LAWN AND GARDEN,633
37,148202,7,7874298690,1,BAKERY,5024
38,137837,6,4619,1,PRODUCE,8606
38,68308,1,3000001820,1,GROCERY DRY GOODS,3556
38,101728,7,60538871457,1,DAIRY,9100
36,56749,7,3160010114,1,SHOES,2617
37,146330,7,68113104851,1,BEAUTY,5445
37,102546,7,2500005077,1,DAIRY,1402
36,53187,6,7962507006,1,BEAUTY,5020
5,112672,1,5381847054,-1,ELECTRONICS,4010
37,66732,1,71752413052,1,PRODUCE,7808
36,39606,4,4011,1,PRODUCE,5501
37,30784,2,4093,1,PRODUCE,4008
38,51432,6,4667500080,4,DAIRY,1356
37,28439,2,78035378403,1,PRODUCE,3601
